,DateStart,League,Name,StandardName,Split,SplitNumber,DateStart__precision
0,,,1era Liga de League of Legends ARGskill,,,,
1,,,2013 CGA Major League Winter,,,,
2,,,2013 The Legends Circuit,,,,
3,,,2014 Garena League Spring #3,,,,
4,,,2015 DDS League Season 1,,,,
5,,,2016 OCS Split 2 Promotion,,,,
6,,,AEL All Stars Main Event,,,,
7,,,After Hours Gaming League,,,,
8,,,Alienware,,,,
9,,,Alienware 2011 Fall Champions,,,,
10,,,Alienware Summer 2012,,,,
11,,,All Stars League Season 2,,,,
12,,,AllForGamers LoL Tournament,,,,
13,,,AME 1UP Cool Master Storm Tournament,,,,
14,,,ASUS ROG - Art to Play 2011,,,,
15,,,AVCon 2013,,,,
16,,,Aztec Wind Force Cup,,,,
17,,,Azubu Collegiate StarLeague,,,,
18,,,Baroncup #1,,,,
19,,,BEST LAN 2013,,,,
20,,,Birdie 24,,,,
21,,,Birdie 26,,,,
22,,,Blitz Cup,,,,
23,,,Brasil Gaming League #2,,,,
24,,,Brazilian Challenger Circuit,,,,
25,,,Challanger Arena,,,,
26,,,Challenge LOLMAG,,,,
27,,,Challenger Series,,,,
28,,,CM Storm Cup #1,,,,
29,,,CM Storm League breakrONE Internet Cafe,,,,
30,,,CM Storm League Tgar! NetCafe,,,,
31,,,CM Storm Pacific Pro Circuit Season 2 April,,,,
32,,,CM Storm Pacific Pro Circuit Season 2 July,,,,
33,,,CM Storm Pacific Pro Circuit Season 2 June,,,,
34,,,CM Storm Pacific Pro Circuit Season 2 May,,,,
35,,,CM Storm Pacific Pro Circuit Season 2 November,,,,
36,,,CM Storm Pacific Pro Circuit Season 2 October,,,,
37,,,CM Storm Pacific Pro Circuit Season 4,,,,
38,,,Cracow Game Spot 2013,,,,
39,,,CSL LoL REDUX,,,,
40,,,Curse King Of The Hill,,,,
41,,,CyAC LoL Championship #1,,,,
42,,,Demacia Cup,,,,
43,,,Dengeki Bunko &amp; eSports MAX Cup #1,,,,
44,,,Desafio Geek Lounge,,,,
45,,,E-Sports Square V,,,,
46,,,E-University League LAN Finals,,,,
47,,,EMS Season 10 Move Up Cup,,,,
48,,,EPS France Season 7,,,,
49,,,ESL Go4LoL 2015 December,,,,
50,,,ESL Philippines Opening Series 1,,,,
51,,,ESL Philippines Opening Series 2,,,,
52,,,EsportFest 2015 Spring,,,,
53,,,ESPORTSM 2013/2014,,,,
54,,,Evolution LOL Cup #13,,,,
55,,,Falkon 2014,,,,
56,,,Family Feuds: Origen &amp; Astralis,,,,
57,,,Feel Like a PRO,,,,
58,,,Fox Esport League,,,,
59,,,Frag For Charity Fibre Optiks Gaming League,,,,
60,,,G-Force 2012,,,,
61,,,GALAXY eSports Carnival 2012,,,,
62,,,Gamecom Plantronics 2011,,,,
63,,,Games4u LoL Cup,,,,
64,,,Garena Campus League 2015,,,,
65,,,Garena Campus League 2016,,,,
66,,,Garena Talk Talk League,,,,
67,,,Garena's G1 eSports 2011,,,,
68,,,GGCUP Championship,,,,
69,,,GIRLGAMER 2019 Esports Festival Seoul - Singapore Qualifier,,,,
70,,,GMPGL Seaonn V-8 Class S,,,,
71,,,GMPGL Season IV-4,,,,
72,,,GMPGL Season IV-5,,,,
73,,,GMPGL Season IV-7,,,,
74,,,GMPGL Season IV-8,,,,
75,,,GMPGL Season V-2,,,,
76,,,GMPGL Season V-3,,,,
77,,,GMPGL Season V-4,,,,
78,,,GMPGL Season V-5,,,,
79,,,GMPGL Season V-6,,,,
80,,,GMPGL Season V-7 Class S,,,,
81,,,GMPGL Season V-9 Class S,,,,
82,,,Grand Opening LoL Showdown,,,,
83,,,Hall of Games 2014,,,,
84,,,hf.lan,,,,
85,,,Hf.lan 8,,,,
86,,,Hitpoint Winter 2021 Play-In,,,,
87,,,HKLAN 2013,,,,
88,,,Hong Kong Esports Tournament Qualifiers,,,,
89,,,Hong Kong Internet Cafes Challenger Cup,,,,
90,,,HotDogs Allo Resto,,,,
91,,,Howie's E-vitational,,,,
92,,,IEM Global Challenge Guangzhou,,,,
93,,,IGN ProLeague Season 6 - Qualifiers,,,,
94,,,International e-Culture Festival 2015,,,,
95,,,IPL LoLympics,,,,
96,,,JCG Premier League: Grand Finals,,,,
97,,,KYO X Msystem League Cup,,,,
98,,,LANcouver 2012,,,,
99,,,LCL OC 2022 Spring Group Stage,LCL OC 2022 Spring Group Stage,,,
100,,,League of Champions,,,,
101,,,League of Legends Battlegrounds EU Fall 2012,,,,
102,,,League of Legends Battlegrounds EU Winter 2012,,,,
103,,,League of Legends Cobra Tournament,,,,
104,,,League of Legends CyAC Tournament 3,,,,
105,,,League of Legends Death Adder Tournament,,,,
106,,,League of Legends Mamba Tournament,,,,
107,,,League of Legends Master Series,,,,
108,,,League of Legends Vipers Tournament,,,,
109,,,Legendary Gaming Easter Cup,,,,
110,,,Lemondogs LoL Open #1,,,,
111,,,Liga de Cuarentena 2020 Ibai,,,,
112,,,LJC 3rd ROCCAT Cup,,,,
113,,,LJC 4th ROCCAT&amp;MSI Cup,,,,
114,,,LoL Bulgaria Varna LAN,,,,
115,,,LoL Club Series 2016 Spring,,,,
116,,,LoL EU East 5on5 OC Fall 2012,,,,
117,,,LoLPro NA 1v1 Challenge Tournament 5,,,,
118,,,LoLPro NA 1v1 Challenge Tournament 6,,,,
119,,,LoLPro NA Dominion Showdown #2,,,,
120,,,LPLOL 2017 Split 1 Promotion,,,,
121,,,LPLOL 2018 Split 1 Promotion,,,,
122,,,LVP CSS Season 14,,,,
123,,,LVP Season 10 Qualifier,,,,
124,,,LVP Season 11 Qualifier,,,,
125,,,Lyon e-Sport 4,,,,
126,,,Made In Asia LoL Challenge,,,,
127,,,MEET-UP 2014,,,,
128,,,MOBAFire Community Cup EUW November,,,,
129,,,MOBAFire Community Cup EUW October,,,,
130,,,MondoCon 2014 Autumn,,,,
131,,,MondoCon 2015 Autumn,,,,
132,,,MondoCon 2015 Spring,,,,
133,,,MSI Overdrive E-Sports: Intensified 2012,,,,
134,,,Msystem x Roccat League of Msystem Cup,,,,
135,,,NESL Premier League Season 7,,,,
136,,,NESL Premier League Season 8,,,,
137,,,NESL Premier League Season 9,,,,
138,,,Onfest Bulgaria 2012,,,,
139,,,Orange Video Fest by Life Tube,,,,
140,,,Pacific Summoners League August Leg,,,,
141,,,Pacific Summoners League December Leg,,,,
142,,,Pacific Summoners League November Leg,,,,
143,,,Pacific Summoners League October Leg,,,,
144,,,Pacific Summoners League September Leg,,,,
145,,,PC Express GAMEX,,,,
146,,,PCSG Winter 2014,,,,
147,,,PGCS 2014 Winter,,,,
148,,,Play Now by Telecom Italia,,,,
149,,,PlayExpo Bulgaria 2013,,,,
150,,,PlayIT 2013 Autumn,,,,
151,,,PlayIT 2014 Autumn,,,,
152,,,PlayIT 2014 Spring,,,,
153,,,PlayIT 2015 Autumn,,,,
154,,,PlayIT 2015 Spring,,,,
155,,,RAID 2018,,,,
156,,,RCTIC LEAGUE WinterGames,,,,
157,,,RealGamers LAN 2014,,,,
158,,,RealGamers LAN 2015,,,,
159,,,ROCCAT Winter Challenge Final,,,,
160,,,RogaHack 2016,,,,
161,,,RoughNeX EUW Cup #2,,,,
162,,,RoughNeX EUW Cup #3,,,,
163,,,Season 3 Southeast Asia Regional Qualifier,,,,
164,,,Shinkou Taikai #4,,,,
165,,,SNGT Lyon,,,,
166,,,SNGT Season 1 Finale,,,,
167,,,SocialNat Spring 2014,,,,
168,,,Solomid 1v1 Open First Blood,,,,
169,,,SoloMid ShowDown 1v1 Open,,,,
170,,,Steel Series Cup A Series,,,,
171,,,SteelSeries inLoL.de - Cup,,,,
172,,,Stream All Stars,,,,
173,,,Summer Break Collegiate Invitational,,,,
174,,,Summer Legends 2013,,,,
175,,,Taiwan eSports League 2013,,,,
176,,,Taiwan National Internet Cafes Elite,,,,
177,,,Tembakan 2011,,,,
178,,,Tembakan Lan 2012,,,,
179,,,The 2nd Summoners Festival,,,,
180,,,The 3rd Summoners Festival,,,,
181,,,The 5th Summoners Festival,,,,
182,,,The Blast #4,,,,
183,,,The Storm 11,,,,
184,,,The Storm 12,,,,
185,,,Thermaltake Cup,,,,
186,,,Torneo Benefico Ibai 2018,,,,
187,,,Torneo UIN Gaming,,,,
188,,,Tower Dive Weekly Tournament,,,,
189,,,"Tristana's 32, The Tt Cup",,,,
190,,,Trust LoL Challenge,,,,
191,,,VCS 2021 Summer Playoffs,,,,
192,,,VCS 2021 Summer Season,,,,
193,,,Vienna Challenger Arena,,,,
194,,,Winter Assembly 2013,,,,
195,,,Winter Game Fest 2012,,,,
196,,,Worten Game Ring Final,,,,
197,,,XL Party FIL 2013,,,,
198,,,Zagreb Gaming Arena,,,,
199,,4Players.de Play4Fame,4Players.de Play4Fame 2011 December,,,,
200,,4Players.de Play4Fame,4Players.de Play4Fame 2011 July,,,,
201,,4Players.de Play4Fame,4Players.de Play4Fame 2011 November,,,,
202,,4Players.de Play4Fame,4Players.de Play4Fame 2011 October,,,,
203,,4Players.de Play4Fame,4Players.de Play4Fame 2011 September,,,,
204,,4Players.de Play4Fame,4Players.de Play4Fame 2012 April,,,,
205,,4Players.de Play4Fame,4Players.de Play4Fame 2012 August,,,,
206,,4Players.de Play4Fame,4Players.de Play4Fame 2012 August,,,,
207,,4Players.de Play4Fame,4Players.de Play4Fame 2012 February,,,,
208,,4Players.de Play4Fame,4Players.de Play4Fame 2012 January,,,,
209,,4Players.de Play4Fame,4Players.de Play4Fame 2012 July,,,,
210,,4Players.de Play4Fame,4Players.de Play4Fame 2012 June,,,,
211,,4Players.de Play4Fame,4Players.de Play4Fame 2012 March,,,,
212,,4Players.de Play4Fame,4Players.de Play4Fame 2012 May,,,,
213,,4Players.de Play4Fame,4Players.de Play4Fame 2012 September,,,,
214,,AESF e-Masters,AESF e-Masters Chengdu 2020,,,,
215,,African Esports League,African Esports League Season 1 Playoffs,African Esports League Season 1 Playoffs,,,
216,,Arabian League,Arabian League 2024 Spring,Arabian League 2024 Spring,Spring,1,
217,,Argentina National League,Argentina National League 2014 Season 3,,,,
218,,Asia Esports Championship,AEC 2021 Landlocked Salmon Open Qualifiers,AEC 2021 Landlocked Salmon Open Qualifiers,,,
219,,Asia Esports Championship,AEC 2021 Leopard Cat Open Qualifiers,AEC 2021 Leopard Cat Open Qualifiers,,,
220,,Asia Esports Championship,AEC 2021 Pangolin Open Qualifiers,AEC 2021 Pangolin Open Qualifiers,,,
221,,Assembly,Assembly Summer 2012,,,,
222,,Assembly,Assembly Winter 2012,,,,
223,,ASTRO Community Cup,ASTRO Community Cup 2014 EU - June,,,,
224,,ASTRO Community Cup,ASTRO Community Cup 2014 EU - May,,,,
225,,Astro Gaming Cup,Astro Gaming Cup,,,,
226,,AUROS League,2018 AORUS League,,,,
227,,Black Monster Cup,Black Monster Cup #3,,,,
228,,Black Monster Cup,BMC 2014 EU Fall Central Qualifiers,,,,
229,,Black Monster Cup,BMC 2014 Spanish Spring Qualifiers,,,,
230,,Brasil Gaming League,Brasil Gaming League #5,,,,
231,,Brazilian Challenger Circuit,Xtreme League of Legends - Edição Especial,,,,
232,,Chile National League,Chile National League 2014 Season 3,,,,
233,,Circuito Nacional Chile,CNC 2022 Season Playoffs,CNC 2022 Season Playoffs,,,
234,,Circuito Tormenta Italy,Circuito Tormenta Italy 2023,Circuito Tormenta Italy 2023,,,
235,,Collegiate Starleague,Collegiate Star League Season 1,,,,
236,,Collegiate Starleague,Collegiate Starleague: Redux,,,,
237,,Collegiate Starleague,CSL March Madness: Qualifier 1,,,,
238,,Collegiate Starleague,CSL March Madness: Qualifier 2,,,,
239,,Colombia National League,Colombia National League 2014 Season 3,,,,
240,,Corsair Vengeance Cup,Corsair Vegeance Cup Italia,,,,
241,,CowboyTV,Magnum LoL 5v5 Tournament - E-Gaming @ Helexpo,,,,
242,,Cyber Games Arena,CML 2013 Winter Msystem Qualifiers,,,,
243,,Cyberathlete Professional League,CPL Shenyang 2012 Qualifiers,,,,
244,,Dell Gaming Championship,Dell Gaming Championship SEA 2020,,,,
245,,DoigCup,DoigCup #1,,,,
246,,DreamHack,DreamHack Valencia 2015 Qualifiers,,,,
247,,DreamHack,DreamHack Winter 2017,,,,
248,,Dutch College League,DCL Upcoming League 2020 - Split 1,,,,
249,,Dutch College League,DCL Upcoming League 2020 - Split 2,,,,
250,,epic.LAN,Epic.FOURTEEN,,,,
251,,ESL,EPS Spain Season 8,,,,
252,,ESL,ESL Go4LoL 2011 April,,,,
253,,ESL,ESL Go4LoL 2011 August,,,,
254,,ESL,ESL Go4LoL 2011 August,,,,
255,,ESL,ESL Go4LoL 2011 December,,,,
256,,ESL,ESL Go4LoL 2011 December,,,,
257,,ESL,ESL Go4LoL 2011 July,,,,
258,,ESL,ESL Go4LoL 2011 July,,,,
259,,ESL,ESL Go4LoL 2011 June,,,,
260,,ESL,ESL Go4LoL 2011 March,,,,
261,,ESL,ESL Go4LoL 2011 May,,,,
262,,ESL,ESL Go4LoL 2011 November,,,,
263,,ESL,ESL Go4LoL 2011 November,,,,
264,,ESL,ESL Go4LoL 2011 November,,,,
265,,ESL,ESL Go4LoL 2011 October,,,,
266,,ESL,ESL Go4LoL 2011 October,,,,
267,,ESL,ESL Go4LoL 2011 September,,,,
268,,ESL,ESL Go4LoL 2011 September,,,,
269,,ESL,ESL Go4LoL 2012 April,,,,
270,,ESL,ESL Go4LoL 2012 April,,,,
271,,ESL,ESL Go4LoL 2012 August,,,,
272,,ESL,ESL Go4LoL 2012 August,,,,
273,,ESL,ESL Go4LoL 2012 December,,,,
274,,ESL,ESL Go4LoL 2012 December,,,,
275,,ESL,ESL Go4LoL 2012 December,,,,
276,,ESL,ESL Go4LoL 2012 February,,,,
277,,ESL,ESL Go4LoL 2012 February,,,,
278,,ESL,ESL Go4LoL 2012 January,,,,
279,,ESL,ESL Go4LoL 2012 January,,,,
280,,ESL,ESL Go4LoL 2012 July,,,,
281,,ESL,ESL Go4LoL 2012 July,,,,
282,,ESL,ESL Go4LoL 2012 June,,,,
283,,ESL,ESL Go4LoL 2012 June,,,,
284,,ESL,ESL Go4LoL 2012 March,,,,
285,,ESL,ESL Go4LoL 2012 March,,,,
286,,ESL,ESL Go4LoL 2012 May,,,,
287,,ESL,ESL Go4LoL 2012 May,,,,
288,,ESL,ESL Go4LoL 2012 November,,,,
289,,ESL,ESL Go4LoL 2012 November,,,,
290,,ESL,ESL Go4LoL 2012 November,,,,
291,,ESL,ESL Go4LoL 2012 October,,,,
292,,ESL,ESL Go4LoL 2012 October,,,,
293,,ESL,ESL Go4LoL 2012 September,,,,
294,,ESL,ESL Go4LoL 2012 September,,,,
295,,ESL,ESL Go4LoL 2013 April,,,,
296,,ESL,ESL Go4LoL 2013 April,,,,
297,,ESL,ESL Go4LoL 2013 April,,,,
298,,ESL,ESL Go4LoL 2013 August,,,,
299,,ESL,ESL Go4LoL 2013 August,,,,
300,,ESL,ESL Go4LoL 2013 August,,,,
301,,ESL,ESL Go4LoL 2013 August,,,,
302,,ESL,ESL Go4LoL 2013 December,,,,
303,,ESL,ESL Go4LoL 2013 February,,,,
304,,ESL,ESL Go4LoL 2013 February,,,,
305,,ESL,ESL Go4LoL 2013 February,,,,
306,,ESL,ESL Go4LoL 2013 January,,,,
307,,ESL,ESL Go4LoL 2013 January,,,,
308,,ESL,ESL Go4LoL 2013 January,,,,
309,,ESL,ESL Go4LoL 2013 July,,,,
310,,ESL,ESL Go4LoL 2013 July,,,,
311,,ESL,ESL Go4LoL 2013 July,,,,
312,,ESL,ESL Go4LoL 2013 June,,,,
313,,ESL,ESL Go4LoL 2013 June,,,,
314,,ESL,ESL Go4LoL 2013 June,,,,
315,,ESL,ESL Go4LoL 2013 March,,,,
316,,ESL,ESL Go4LoL 2013 March,,,,
317,,ESL,ESL Go4LoL 2013 March,,,,
318,,ESL,ESL Go4LoL 2013 March,,,,
319,,ESL,ESL Go4LoL 2013 May,,,,
320,,ESL,ESL Go4LoL 2013 May,,,,
321,,ESL,ESL Go4LoL 2013 November,,,,
322,,ESL,ESL Go4LoL 2013 November,,,,
323,,ESL,ESL Go4LoL 2013 November,,,,
324,,ESL,ESL Go4LoL 2013 October,,,,
325,,ESL,ESL Go4LoL 2013 October,,,,
326,,ESL,ESL Go4LoL 2013 October,,,,
327,,ESL,ESL Go4LoL 2013 September,,,,
328,,ESL,ESL Go4LoL 2014 April,,,,
329,,ESL,ESL Go4LoL 2014 August,,,,
330,,ESL,ESL Go4LoL 2014 August,,,,
331,,ESL,ESL Go4LoL 2014 December,,,,
332,,ESL,ESL Go4LoL 2014 February,,,,
333,,ESL,ESL Go4LoL 2014 January,,,,
334,,ESL,ESL Go4LoL 2014 January,,,,
335,,ESL,ESL Go4LoL 2014 July,,,,
336,,ESL,ESL Go4LoL 2014 March,,,,
337,,ESL,ESL Go4LoL 2014 November,,,,
338,,ESL,ESL Go4LoL 2015 February,,,,
339,,ESL,ESL Go4LoL 2015 January,,,,
340,,ESL,ESL Go4LoL 2015 July,,,,
341,,ESL,ESL Go4LoL 2015 June,,,,
342,,ESL,ESL Go4LoL 2015 November,,,,
343,,ESL,ESL Go4LoL 2015 November,,,,
344,,ESL,ESL Go4LoL 2015 October,,,,
345,,ESL,ESL Go4LoL France 2015 May,,,,
346,,ESL,Major ESL Arena,,,,
347,,ESL,NESL Premier League 5,,,,
348,,ESL,NESL Premier League 6,,,,
349,,ESL Mistrzostwa Polski,2017 ESL Mistrzostwa Polski Spring,,,,
350,,ESL Pro Series,EPS CIS Season 1,,,,
351,,ESL Pro Series,EPS France Season 8,,,,
352,,ESL Pro Series,EPS France Season 9,,,,
353,,ESL Pro Series,ESL Pro Series Season 12,,,,
354,,ESL South East Europe Championship,ESL SEE Championship 2014,ESL SEE Championship 2014,,,
355,,ESports.gr,ESports.gr 2015,,,,
356,,FAN4FAN,FAN4FAN Łódź 2014,,,,
357,,FAN4FAN,GameZone FAN4FAN 2013 Kraków,,,,
358,,Fantasy Expo Challenge,Fight LoL EUW,,,,
359,,Female Esports League Elite,FEL Elite Season 3,,,,
360,,Female Esports League Elite,Female Esports League Elite SG/MY Qualifier,,,,
361,,Fight LoL EUW,Fight LoL EUW,,,,
362,,FNAC Gaming League,FNAC Gaming League,,,,
363,,Frag-o-Matic,Frag-o-Matic 13.1,,,,
364,,Frag-o-Matic,Frag-o-Matic 14.0,,,,
365,,Frag-o-Matic,Frag-o-Matic 14.1,,,,
366,,Frag-o-Matic,Frag-o-Matic 15.0: Survival,,,,
367,,Frag-o-Matic,Frag-o-Matic 15.1: Underwater,,,,
368,,Frag-o-Matic,Frag-o-Matic 16.1: Roman Empire,,,,
369,,Frag-o-Matic,Frag-o-Matic 17.1: Heaven,,,,
370,,Gamergy,LVP Road to Gamergy 2015,,,,
371,,Gaming.dk,Gaming.dk LoL Liga Season 2,,,,
372,,Garena Talk Talk League,Garena Talk Talk League Week 1,,,,
373,,Garena Talk Talk League,Garena Talk Talk League Week 10,,,,
374,,Garena Talk Talk League,Garena Talk Talk League Week 12,,,,
375,,Garena Talk Talk League,Garena Talk Talk League Week 13,,,,
376,,Garena Talk Talk League,Garena Talk Talk League Week 14,,,,
377,,Garena Talk Talk League,Garena Talk Talk League Week 15,,,,
378,,Garena Talk Talk League,Garena Talk Talk League Week 16,,,,
379,,Garena Talk Talk League,Garena Talk Talk League Week 19,,,,
380,,Garena Talk Talk League,Garena Talk Talk League Week 20,,,,
381,,Garena Talk Talk League,Garena Talk Talk League Week 22,,,,
382,,Garena Talk Talk League,Garena Talk Talk League Week 23,,,,
383,,Garena Talk Talk League,Garena Talk Talk League Week 24,,,,
384,,Garena Talk Talk League,Garena Talk Talk League Week 25,,,,
385,,Garena Talk Talk League,Garena Talk Talk League Week 5,,,,
386,,Garena Talk Talk League,Garena Talk Talk League Week 6,,,,
387,,Garena Talk Talk League,Garena Talk Talk League Week 8,,,,
388,,Garena Talk Talk League,Garena Talk Talk League Week 9,,,,
389,,Hong Kong Esports Tournament,HKES Tournament Season 1,,,,
390,,Hyperplay,Music X Esports: Laos 2018,,,,
391,,Iberanime,Iberanime 4Gamers 2017,,,,
392,,Iberanime,Iberanime Invitational 2016,,,,
393,,Iberanime,Iberanime LX 2016,,,,
394,,IGN Pro League,IPL Royale,,,,
395,,Ignis Academy,Ignis Academy 2023,Ignis Academy 2023,,,
396,,Insomnia New,Insomnia61 Summer 2017,,,,
397,,InSpot,InSpot National Tournament #2,,,,
398,,Island of Legends,Island of Legends 2015,,,,
399,,IvyLoL,IvyLoL Season 1 Premier,,,,
400,,IvyLoL,IvyLoL Season 2 Premier League,,,,
401,,LCL Open Cup,LCL OC 2022 Spring Open League T3,LCL OC 2022 Spring Open League T3,,,
402,,LCL Open Cup,LCL OC 2022 Spring Open League T4,LCL OC 2022 Spring Open League T4,,,
403,,LCL Open Cup,LCL OC 2022 Spring Open League T5,LCL OC 2022 Spring Open League T5,,,
404,,LCL Open Cup,LCL OC 2022 Spring Open League T6,LCL OC 2022 Spring Open League T6,,,
405,,LCL Open Cup,LCL OC 2022 Spring Playoffs,LCL OC 2022 Spring Playoffs,,,
406,,Lega Seconda,Lega Seconda Season 2 Promotion,,,,
407,,Liga de Videojuegos Profesional,LVP Season 3,,,,
408,,Liga de Videojuegos Profesional,LVP Season 4,,,,
409,,Liga de Videojuegos Profesional,LVP Season 5,,,,
410,,Liga Latinoamerica,LLA 2021 Opening Promotion,LLA 2021 Opening Promotion,Opening,1,
411,,Liga Portuguesa,LPLOL 2015 Grand Final,,,,
412,,Liga Portuguesa,LPLOL 2016 Grand Final,,,,
413,,Liga Portuguesa,LPLOL 2016 Split 1 Playoff,,,,
414,,Liga Portuguesa,LPLOL 2016 Split 2 Playoff,,,,
415,,Lisbon Games Week,Lisbon Games Week 2014,,,,
416,,Lisbon Games Week,Lisbon Games Week 2015,,,,
417,,Logitech CGPL,CGPL Season 1 Spring,,,,
418,,LoL Continental League,LCL 2022 Spring Playoffs,LCL 2022 Spring Playoffs,Spring,2,
419,,LoL Continental League,LCL 2022 Summer,LCL 2022 Summer,Summer,2,
420,,LoL Continental League,LCL 2022 Summer Playoffs,LCL 2022 Summer Playoffs,Summer,2,
421,,LoL Japan League Challenger Series,LJLCS 2016 Summer Qualifier,LJLCS 2016 Summer Qualifier,,,
422,,LVP SuperLiga,LVP SL 2021 Spring Promotion,LVP SL 2021 Spring Promotion,Spring,,
423,,Madrid Games Week,Madrid Games Week 2015,,,,
424,,Major League Gaming,MLG Prizefights,,,,
425,,Mexico National League,Mexico National League 2014 Season 3,,,,
426,,Mid-Season Invitational,MSI 2020,MSI 2020,,,
427,,MOBAFire,MOBAFire Community Cup EUW September,,,,
428,,MSI-TNC Gaming Cup,MSI-TNC Gaming Cup April,,,,
429,,MSI-TNC Gaming Cup,MSI-TNC Gaming Cup July,,,,
430,,MSI-TNC Gaming Cup,MSI-TNC Gaming Cup June,,,,
431,,MSI-TNC Gaming Cup,MSI-TNC Gaming Cup May,,,,
432,,none,Baroncup #2,,,,
433,,Northern League of Legends Championship,NLC 2021 Summer Relegation,NLC 2021 Summer Relegation,,,
434,,Pacific Championship Series,PCS 2021 Spring Promotion - PH Qualifier,PCS 2021 Spring Promotion - PH Qualifier,Spring,1,
435,,Pacific Championship Series,PCS 2021 Spring Promotion - SAM Qualifier,PCS 2021 Spring Promotion - SAM Qualifier,Spring,1,
436,,PGN22,PG Nationals 2022 Spring Promotion,PG Nationals 2022 Spring Promotion,Spring,,
437,,PolyLAN,PolyLAN 33,,,,
438,,Power League Gaming,PLG Grand Slam 2017,,,,
439,,Pro Gaming Series,PGS 2018 Spring Promotion,,,,
440,,Puchar Polski Cybersport,Puchar Polski Cybersport Season 1,,,,
441,,Razer League of Legends Challenge,Razer Twisted Treeline Tournament,,,,
442,,Red Bull Player One 2014,Red Bull Player One 2014,,,,
443,,Red Bull Player One 2014,Red Bull Player One 2015,,,,
444,,Red Bull Player One 2014,Red Bull Player One 2016,,,,
445,,Red Bull Player One 2014,Red Bull Player One 2017,,,,
446,,Red Bull Player One 2014,Red Bull Player One 2018,,,,
447,,Riot Games,GameX Riot Turkey National Championship,,,,
448,,Rising Stars Invitational,Rising Stars Invitational,,,,
449,,ROCCAT,ROCCAT LoL Invitational,,,,
450,,Taiwan eSports League,TeSL Draft Season,,,,
451,,Technorama,Technorama Corsair Challenge #1,,,,
452,,Telenorligaen,Telenorligaen 2016 Autumn Playoffs,,,,
453,,Telenorligaen,Telenorligaen 2016 Spring Playoffs,,,,
454,,The Gathering,The Gathering 2017,,,,
455,,The League Champions League,The League Champions League Season 2,,,,
456,,The Legends Circuit,TLC Malayasia 2014 Spring,,,,
457,,The Legends Circuit,TLC Singapore 2014 Spring,,,,
458,,The Reality,The Reality XIII,,,,
459,,Torneo Nazionale Italiano 2014,Torneo Nazionale Italiano 2014,,,,
460,,UBC eSports,UBC eSports Intracollegiate League 1,,,,
461,,UBC eSports,UBC eSports Intracollegiate League 2,,,,
462,,UEG League,UEG League 2019 Summer Promotion,,,,
463,,Ultraliga 2nd Division,Ultraliga 2nd Division Season 8 Promotion,Ultraliga 2nd Division Season 8 Promotion,,,
464,,Uniliga,Uniliga 2022 Summer,Uniliga 2022 Summer,,,
465,,unknown,DEMACIA 2K13,,,,
466,,unknown,League of Legends Online Game Competition,,,,
467,,unknown,LoL Argentina,,,,
468,,unknown,TECHNOFIELDS 3D,,,,
469,,unknown,Torneo de League of Legends SKGCL LAS,,,,
470,,VIRESA,Vietnam Esports Championship Season 1,Vietnam Esports Championship Season 1,,,
471,,World Cyber Games,WCG 2011 Germay Qualifies,,,,
472,,World Cyber Games,World Cyber Games Poland 2011,,,,
473,,X-kom Clash,x-kom Clash 2016,,,,
474,2009-08-15,,Baron Nashor Cup,,,,1
475,2010-08-07,World Cyber Games,WCG 2010 American Qualifiers,,,,1
476,2010-08-07,World Cyber Games,WCG 2010 European Qualifiers,,,,1
477,2010-09-30,World Cyber Games,WCG Grand Finals 2010,,,,1
478,2010-10-22,ESL Major Series,ESL Major Series 7,,,,1
479,2010-11-17,Newegg Wanfest,Newegg Winter Wanfest 2010,,,,1
480,2010-11-17,Newegg Wanfest,Newegg Winter Wanfest 2010 A,,,,1
481,2010-11-17,Newegg Wanfest,Newegg Winter Wanfest 2010 B,,,,1
482,2010-11-17,Newegg Wanfest,Newegg Winter Wanfest 2010 C,,,,1
483,2010-11-17,Newegg Wanfest,Newegg Winter Wanfest 2010 D,,,,1
484,2011-01-05,CyberEvolution,CEVO Champions Challenge,,,,1
485,2011-03-04,Intel Extreme Masters,Intel Extreme Masters - Hanover,,,,1
486,2011-03-06,ESL,Go4LoL NA 1,,,,1
487,2011-03-13,ESL,Go4LoL NA 2,,,,1
488,2011-03-14,ESL Pro Series,EPS Germany 2011 Summer,,,,1
489,2011-03-20,ESL,Go4LoL NA 3,,,,1
490,2011-03-27,ESL,Go4LoL NA 4,,,,1
491,2011-03-31,ESL,NESL Premier League Season I,,,,1
492,2011-04-02,ESL,Go4LoL NA 2011 March Finals,,,,1
493,2011-04-03,ESL,Go4LoL NA 5,,,,1
494,2011-04-10,ESL,Go4LoL NA 6,,,,1
495,2011-04-16,ESL Major Series,ESL Major Series 8,,,,1
496,2011-04-17,ESL,Go4LoL NA 7,,,,1
497,2011-04-24,ESL,Go4LoL NA 8,,,,1
498,2011-04-30,ESL,Go4LoL NA April Finals,,,,1
499,2011-05-01,ESL,Go4LoL NA 9,,,,1
500,2011-05-08,ESL,Go4LoL NA 10,,,,1
501,2011-05-15,ESL,Go4LoL NA 11,,,,1
502,2011-05-22,ESL,Go4LoL NA 12,,,,1
503,2011-05-28,,East Games United 2011,,,,1
