,DateStart,League,Name,StandardName,Split,SplitNumber,DateStart__precision
5328,2020-04-26,A1 eSports League Austria Season 2,A1 eSports Legends Cup 2020 Spring Qualifier 2,A1 eSports Legends Cup 2020 Spring Qualifier 2,,,1
5329,2020-04-26,CBS League,CBS League 2020 Group Stage,CBS League 2020 Group Stage,,,1
5330,2020-04-26,La Lega Online,La Lega Online Season 2 Split 3,La Lega Online Season 2 Split 3,,,1
5331,2020-04-27,Ligue PCS 2018-2019,Ligue PCS 5 Qualifier 3,,,,1
5332,2020-04-27,Turkish Championship League,TCL 2020 Winter Playoffs,TCL 2020 Winter Playoffs,Winter,1,1
5333,2020-04-28,A1 eSports League Austria Season 2,A1 eSports Legends Cup 2020 Spring Split,,,,1
5334,2020-04-28,LoL Champions Korea,LCK 2020 Summer Promotion,LCK 2020 Summer Promotion,Summer,,1
5335,2020-04-29,Orange,Orange #StayHomeAndPlay Grand Finals,,,,1
5336,2020-04-29,PG Nationals,PG Nationals 2020 Summer Promotion OQ,PG Nationals 2020 Summer Promotion OQ,Summer,,1
5337,2020-04-30,Proximus Cup,Proximus Cup #2,,,,1
5338,2020-05-01,Bloody Invitational Gaming League,BIG League Season 3 Open Qualifier 2,BIG League Season 3 Open Qualifier 2,,,1
5339,2020-05-01,Circuito Nacional Mexico,CNM 2020 Season T2,,,,1
5340,2020-05-01,E-Sports Revolution Gamers vs Corona,E-Sports Revolution Gamers vs Corona,E-Sports Revolution Gamers vs Corona,,,1
5341,2020-05-01,Esports Amateur Series,EAS 1st Division 2020 Spring Grand Prix,EAS 1st Division 2020 Spring Grand Prix,,,1
5342,2020-05-01,Esports Amateur Series,EAS 3rd Division 2020 Spring Grand Prix,EAS 3rd Division 2020 Spring Grand Prix,,,1
5343,2020-05-01,Vietnam Championship Series,VCS 2020 Summer Promotion,VCS 2020 Summer Promotion,Summer,2,1
5344,2020-05-02,Brazilian Challenger Circuit,BRCC 2020 Split 2 Promotion Q3,BRCC 2020 Split 2 Promotion Q3,,,1
5345,2020-05-02,Circuit Brazilian League of Legends,CBLOL 2020 Split 1 Playoffs,CBLOL 2020 Split 1 Playoffs,Split 1,1,1
5346,2020-05-02,MLP Legends,MLP Campus Legends 2020,,,,1
5347,2020-05-02,Open Tour Benelux,Open Tour Benelux 2020 Step 4,Open Tour Benelux 2020 Step 4,,,1
5348,2020-05-02,Open Tour France,Open Tour France 2020 Etape 4,,,,1
5349,2020-05-02,POST eSports League,POST eSports League 2020 Group Stage,POST eSports League 2020 Group Stage,,,1
5350,2020-05-02,Scouting Grounds Circuit,Legends Weekend League Open Qualifier 1,Legends Weekend League Open Qualifier 1,,,1
5351,2020-05-04,Bloody Invitational Gaming League,BIG League Season 3,BIG League Season 3,,,1
5352,2020-05-04,Ligue PCS 2018-2019,Ligue PCS 5 Qualifier 4,,,,1
5353,2020-05-04,Quartz Cup,Quartz Cup 1,,,,1
5354,2020-05-07,Proximus Cup,Proximus Cup #3,,,,1
5355,2020-05-08,Circuito Piazza eSports,Circuito Piazza eSports S0 Final Phase,Circuito Piazza eSports S0 Final Phase,,,1
5356,2020-05-08,Liga Nexo,Liga Nexo 2020 G2 Arctic Showmatch,Liga Nexo 2020 G2 Arctic Showmatch,,,1
5357,2020-05-09,Brazilian Challenger Circuit,BRCC 2020 Split 2 Promotion Q4,BRCC 2020 Split 2 Promotion Q4,,,1
5358,2020-05-09,Circuito Nacional Peru,CNP 2020 Opening Season T4,,,,1
5359,2020-05-09,LLF,LLF 2020 Qualification,LLF 2020 Qualification,,,1
5360,2020-05-09,Scouting Grounds Circuit,Legends Weekend League Open Qualifier 2,Legends Weekend League Open Qualifier 2,,,1
5361,2020-05-09,StayHome European Nations Cup,StayHome European Nations Cup,StayHome European Nations Cup,,,1
5362,2020-05-09,ZOTAC CUP,ZOTAC CUP LoL EU West 9,,,,1
5363,2020-05-10,Telia Esports Series Sweden,TES Sweden 2020 Summer Qualifier 1,TES Sweden 2020 Summer Qualifier 1,Summer,,1
5364,2020-05-11,Brazilian Challenger Circuit,BRCC 2020 Split 1 Playoffs,BRCC 2020 Split 1 Playoffs,,,1
5365,2020-05-11,Liga Portuguesa,LPLOL 2020 Spring Cup Qualifier,LPLOL 2020 Spring Cup Qualifier,Spring,,1
5366,2020-05-11,Ligue PCS 2018-2019,Ligue PCS 5 Qualifier 5,,,,1
5367,2020-05-12,Galaxy Racer League of Legends Online Tournament,Galaxy Racer League of Legends Online Tournament,Galaxy Racer League of Legends Online Tournament,,,1
5368,2020-05-12,UEG League,Uniliga 2020 Summer Season,,,,1
5369,2020-05-12,Upsurge Premier League,UPL 2020 Summer,UPL 2020 Summer,Summer,2,1
5370,2020-05-13,Brazilian Challenger Circuit,BRCC 2020 Split 2 Promotion Qualifiers,BRCC 2020 Split 2 Promotion Qualifiers,,,1
5371,2020-05-13,PG Nationals,PG Nationals 2020 Summer Promotion,PG Nationals 2020 Summer Promotion,Summer,,1
5372,2020-05-13,Telia Esports Series Sweden,TES Sweden 2020 Summer Qualifier 2,TES Sweden 2020 Summer Qualifier 2,Summer,,1
5373,2020-05-14,LLF,LLF 2020 Main Phase,LLF 2020 Main Phase,,,1
5374,2020-05-14,Proximus Cup,Proximus Cup #4,,,,1
5375,2020-05-15,ARENA,ARENA x FlashInTheNight HOME CUP,,,,1
5376,2020-05-15,Greek Legends League,GLL 2020 Summer Qualifiers,GLL 2020 Summer Qualifiers,Summer,,1
5377,2020-05-15,PowerLab,PowerLab Cup 2,,,,1
5378,2020-05-15,Random Cup,Random Cup 2020,Random Cup 2020,,,1
5379,2020-05-16,Scouting Grounds Circuit,Legends Weekend League Open Qualifier 3,Legends Weekend League Open Qualifier 3,,,1
5380,2020-05-16,Telia Esports Series Denmark,TES Denmark 2020 Summer Qualifier 1,TES Denmark 2020 Summer Qualifier 1,Summer,,1
5381,2020-05-16,Telia Esports Series Finland,TES Finland 2020 Summer Qualifier 1,TES Finland 2020 Summer Qualifier 1,Summer,,1
5382,2020-05-16,Unknown,EU Community Showdown 2020,EU Community Showdown 2020,,,1
5383,2020-05-17,Garena,Pulsefire Cup 2020,Pulsefire Cup 2020,,,1
5384,2020-05-17,Garena,Pulsefire Cup 2020 Showmatch,Pulsefire Cup 2020 Showmatch,,,1
5385,2020-05-17,Hitpoint Warmup,Hitpoint Warmup #1,,,,1
5386,2020-05-17,Telia Esports Series Denmark,TES Denmark 2020 Summer Qualifier 2,TES Denmark 2020 Summer Qualifier 2,Summer,,1
5387,2020-05-17,Telia Esports Series Sweden,TES Sweden 2020 Summer Qualifier 3,TES Sweden 2020 Summer Qualifier 3,Summer,,1
5388,2020-05-18,Brazilian Challenger Circuit,BRCC 2020 Split 2 Promotion,BRCC 2020 Split 2 Promotion,,,1
5389,2020-05-18,Liga Portuguesa,LPLOL 2020 Spring Cup,LPLOL 2020 Spring Cup,,,1
5390,2020-05-18,Ligue PCS 2018-2019,Ligue PCS 5 Qualifier 6,,,,1
5391,2020-05-18,Telia Esports Series Norway,TES Norway 2020 Summer Qualifier,TES Norway 2020 Summer Qualifier,Summer,,1
5392,2020-05-19,Circuit Brazilian League of Legends,CBLOL 2020 Split 2 Promotion,CBLOL 2020 Split 2 Promotion,Split 2,2,1
5393,2020-05-19,Telia Esports Series Finland,TES Finland 2020 Summer Qualifier 2,TES Finland 2020 Summer Qualifier 2,Summer,,1
5394,2020-05-19,Underdogs,Underdogs 2020,Underdogs 2020,,,1
5395,2020-05-20,Hitpoint Warmup,Hitpoint Warmup #2,,,,1
5396,2020-05-20,Telia Esports Series Sweden,TES Sweden 2020 Summer Qualifier 4,TES Sweden 2020 Summer Qualifier 4,Summer,,1
5397,2020-05-21,Oceanic Challenger Series,OCS 2020 Regular Season,OCS 2020 Regular Season,,,1
5398,2020-05-23,Challengers Korea,CK 2020 Summer Promotion Qualifiers,CK 2020 Summer Promotion Qualifiers,Summer,,1
5399,2020-05-23,Esports Balkan League,EBL Season 7 Open Qualifier,EBL Season 7 Open Qualifier,,,1
5400,2020-05-23,Gamers Club Rift,Gamers Club Rift Season 2,Gamers Club Rift Season 2,,,1
5401,2020-05-23,Icelandic Esports League,Icelandic Esports League Season 3 Challengers Major,Icelandic Esports League Season 3 Challengers Major,,,1
5402,2020-05-23,Riot Games,Legacy Esports vs OPL All-Stars,,,,1
5403,2020-05-23,Scouting Grounds Circuit,Legends Weekend League Open Qualifier 4,Legends Weekend League Open Qualifier 4,,,1
5404,2020-05-23,Telia Esports Series Sweden,TES Sweden 2020 Summer Closed Qualifier,TES Sweden 2020 Summer Closed Qualifier,Summer,,1
5405,2020-05-23,ZOTAC CUP,ZOTAC CUP LoL EU West 10,,,,1
5406,2020-05-24,Hitpoint Warmup,Hitpoint Warmup #3,,,,1
5407,2020-05-24,PG Esports Events,Road to PG Nats Staff Rumble,Road to PG Nats Staff Rumble,,,1
5408,2020-05-24,Telia Esports Series Denmark,TES Denmark 2020 Summer Closed Qualifier,TES Denmark 2020 Summer Closed Qualifier,Summer,,1
5409,2020-05-24,Telia Esports Series Finland,TES Finland 2020 Summer Qualifier 3,TES Finland 2020 Summer Qualifier 3,Summer,,1
5410,2020-05-25,Esports Balkan League,EBL Season 7 Closed Qualifier,EBL Season 7 Closed Qualifier,,,1
5411,2020-05-25,EVOS Esports,EVOS Charity Showmatch 2020,EVOS Charity Showmatch 2020,,,1
5412,2020-05-25,Ligue PCS 2018-2019,Ligue PCS 5 Last Chance,,,,1
5413,2020-05-27,CBS League,CBS League 2020 Playoffs,CBS League 2020 Playoffs,,,1
5414,2020-05-27,PG Nationals,PG Nationals 2020 Summer,PG Nationals 2020 Summer,Summer,2,1
5415,2020-05-27,Riot Games,Mid-Season Showdown 2020,Mid-Season Showdown 2020,,,1
5416,2020-05-28,Challengers Korea,CK 2020 Summer Promotion,CK 2020 Summer Promotion,Summer,2,1
5417,2020-05-28,Icelandic Esports League,Icelandic Esports League Season 3 Masters Major,Icelandic Esports League Season 3 Masters Major,,,1
5418,2020-05-28,Mid-Season Cup 2020,Mid-Season Cup 2020,Mid-Season Cup 2020,,,1
5419,2020-05-29,Esports Balkan League,EBL Season 7 Qualification,EBL Season 7 Qualification,,,1
5420,2020-05-29,Focus Championship Series,Focus Championship Series Season 4 Open Qualifiers,Focus Championship Series Season 4 Open Qualifiers,,,1
