,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
38,AlienTech eSports,AlternativeX,LPLOL/2016 Season/Split 2,LPLOL/2016 Season/Split 2_AlienTech eSports,4,1,Bot,1
39,AlienTech eSports,AlternativeX,LPLOL/2016 Season/Split 2 Playoffs,LPLOL/2016 Season/Split 2 Playoffs_AlienTech eSports,4,1,Bot,1
40,AlienTech eSports,Aziado,LPLOL/2016 Season/Grand Final,LPLOL/2016 Season/Grand Final_AlienTech eSports,3,1,Mid,1
41,AlienTech eSports,Aziado,LPLOL/2016 Season/Split 1,LPLOL/2016 Season/Split 1_AlienTech eSports,3,1,Mid,1
42,AlienTech eSports,Aziado,LPLOL/2016 Season/Split 1 Playoffs,LPLOL/2016 Season/Split 1 Playoffs_AlienTech eSports,3,1,Mid,1
43,AlienTech eSports,Aziado,LPLOL/2016 Season/Split 2,LPLOL/2016 Season/Split 2_AlienTech eSports,3,1,Mid,1
44,AlienTech eSports,Aziado,LPLOL/2016 Season/Split 2 Playoffs,LPLOL/2016 Season/Split 2 Playoffs_AlienTech eSports,3,1,Mid,1
45,AlienTech eSports,Crusher,LPLOL/2016 Season/Grand Final,LPLOL/2016 Season/Grand Final_AlienTech eSports,2,1,Jungle,1
46,AlienTech eSports,Crusher,LPLOL/2016 Season/Split 1,LPLOL/2016 Season/Split 1_AlienTech eSports,2,1,Jungle,1
47,AlienTech eSports,Crusher,LPLOL/2016 Season/Split 1 Playoffs,LPLOL/2016 Season/Split 1 Playoffs_AlienTech eSports,2,1,Jungle,1
48,AlienTech eSports,Crusher,LPLOL/2016 Season/Split 2,LPLOL/2016 Season/Split 2_AlienTech eSports,2,1,Jungle,1
49,AlienTech eSports,Crusher,LPLOL/2016 Season/Split 2 Playoffs,LPLOL/2016 Season/Split 2 Playoffs_AlienTech eSports,2,1,Jungle,1
50,AlienTech eSports,define,LPLOL/2016 Season/Split 1,LPLOL/2016 Season/Split 1_AlienTech eSports,1,1,Top,1
51,AlienTech eSports,define,LPLOL/2016 Season/Split 1 Playoffs,LPLOL/2016 Season/Split 1 Playoffs_AlienTech eSports,1,1,Top,1
52,AlienTech eSports,FearlessS,LPLOL/2016 Season/Grand Final,LPLOL/2016 Season/Grand Final_AlienTech eSports,1,1,Top,1
53,AlienTech eSports,FearlessS,LPLOL/2016 Season/Split 2,LPLOL/2016 Season/Split 2_AlienTech eSports,1,1,Top,1
54,AlienTech eSports,FearlessS,LPLOL/2016 Season/Split 2 Playoffs,LPLOL/2016 Season/Split 2 Playoffs_AlienTech eSports,1,1,Top,1
55,AlienTech eSports,Slayer (Nuno Moutinho),LPLOL/2016 Season/Grand Final,LPLOL/2016 Season/Grand Final_AlienTech eSports,5,1,Support,1
56,AlienTech eSports,Slayer (Nuno Moutinho),LPLOL/2016 Season/Split 1,LPLOL/2016 Season/Split 1_AlienTech eSports,5,1,Support,1
57,AlienTech eSports,Slayer (Nuno Moutinho),LPLOL/2016 Season/Split 1 Playoffs,LPLOL/2016 Season/Split 1 Playoffs_AlienTech eSports,5,1,Support,1
58,AlienTech eSports,Slayer (Nuno Moutinho),LPLOL/2016 Season/Split 2,LPLOL/2016 Season/Split 2_AlienTech eSports,5,1,Support,1
59,AlienTech eSports,Slayer (Nuno Moutinho),LPLOL/2016 Season/Split 2 Playoffs,LPLOL/2016 Season/Split 2 Playoffs_AlienTech eSports,5,1,Support,1
60,All Gamers,Earth,LPL/2013 Season/Spring Qualifier,LPL/2013 Season/Spring Qualifier_All Gamers,5,1,,1
61,All Gamers,Neptune,LPL/2013 Season/Spring Qualifier,LPL/2013 Season/Spring Qualifier_All Gamers,3,1,,1
62,All Gamers,Pluto (Chinese Player),LPL/2013 Season/Spring Qualifier,LPL/2013 Season/Spring Qualifier_All Gamers,2,1,,1
63,All Gamers,Saturn (Chinese Player),LPL/2013 Season/Spring Qualifier,LPL/2013 Season/Spring Qualifier_All Gamers,4,1,,1
64,All Gamers,Venus (Chinese Player),LPL/2013 Season/Spring Qualifier,LPL/2013 Season/Spring Qualifier_All Gamers,1,1,,1
65,Anyone's Legend,Betty,LPL/2022 Season/Spring Season,LPL/2022 Season/Spring Season_Anyone's Legend,5,1,Bot,1
66,Anyone's Legend,Betty,LPL/2022 Season/Summer Season,LPL/2022 Season/Summer Season_Anyone's Legend,5,1,Bot,1
67,Anyone's Legend,Betty,LPL/2023 Season/Spring Season,LPL/2023 Season/Spring Season_Anyone's Legend,5,1,Bot,1
68,Anyone's Legend,doG8,LPL/2023 Season/Summer Season,LPL/2023 Season/Summer Season_Anyone's Legend,8,1,Coach,1
69,Anyone's Legend,fishball,LPL/2023 Season/Summer Season,LPL/2023 Season/Summer Season_Anyone's Legend,9,1,Coach,1
70,Anyone's Legend,Forge,LPL/2022 Season/Spring Season,LPL/2022 Season/Spring Season_Anyone's Legend,3,1,Mid,1
71,Anyone's Legend,Forge,LPL/2022 Season/Summer Season,LPL/2022 Season/Summer Season_Anyone's Legend,3,1,Mid,1
72,Anyone's Legend,Harder,LPL/2022 Season/Summer Season,LPL/2022 Season/Summer Season_Anyone's Legend,4,1,Mid,1
73,Anyone's Legend,Harder,LPL/2023 Season/Spring Season,LPL/2023 Season/Spring Season_Anyone's Legend,3,1,Mid,1
74,Anyone's Legend,Harder,LPL/2023 Season/Summer Season,LPL/2023 Season/Summer Season_Anyone's Legend,4,1,Mid,1
75,Anyone's Legend,iBoy,LPL/2023 Season/Summer Season,LPL/2023 Season/Summer Season_Anyone's Legend,6,1,Bot,1
76,Anyone's Legend,illusion (Chen Xin-Lin),LPL/2022 Season/Summer Season,LPL/2022 Season/Summer Season_Anyone's Legend,8,1,Coach,1
77,Anyone's Legend,JiangMingZhe,LPL/2023 Season/Spring Season,LPL/2023 Season/Spring Season_Anyone's Legend,7,1,Coach,1
78,Anyone's Legend,Maple (Huang Yi-Tang),LPL/2022 Season/Spring Season,LPL/2022 Season/Spring Season_Anyone's Legend,4,1,Mid,1
79,Anyone's Legend,pinz,LPL/2023 Season/Spring Season,LPL/2023 Season/Spring Season_Anyone's Legend,4,1,Mid,1
