,Team,Player,OverviewPage,PageAndTeam,N PlayerInTeam,TeamOrder,Role,IsDistribution
2664,Gen.G,Doran (Choi Hyeon-joon),LCK/2022 Season/Summer Playoffs,LCK/2022 Season/Summer Playoffs_Gen.G,1,1,Top,1
2665,Gen.G,Doran (Choi Hyeon-joon),LCK/2022 Season/Summer Season,LCK/2022 Season/Summer Season_Gen.G,1,1,Top,1
2666,Gen.G,Doran (Choi Hyeon-joon),LCK/2023 Season/Spring Playoffs,LCK/2023 Season/Spring Playoffs_Gen.G,1,1,Top,1
2667,Gen.G,Doran (Choi Hyeon-joon),LCK/2023 Season/Spring Season,LCK/2023 Season/Spring Season_Gen.G,1,1,Top,1
2668,Gen.G,Doran (Choi Hyeon-joon),LCK/2023 Season/Summer Playoffs,LCK/2023 Season/Summer Playoffs_Gen.G,1,1,Top,1
2669,Gen.G,Doran (Choi Hyeon-joon),LCK/2023 Season/Summer Season,LCK/2023 Season/Summer Season_Gen.G,1,1,Top,1
2670,Gen.G,Edgar,LCK/2018 Season/Regional Finals,LCK/2018 Season/Regional Finals_Gen.G,8,1,Coach,1
2671,Gen.G,Edgar,LCK/2018 Season/Summer Playoffs,LCK/2018 Season/Summer Playoffs_Gen.G,6,1,Coach,1
2672,Gen.G,Edgar,LCK/2018 Season/Summer Season,LCK/2018 Season/Summer Season_Gen.G,9,1,Coach,1
2673,Gen.G,Edgar,LCK/2019 Season/Spring Season,LCK/2019 Season/Spring Season_Gen.G,7,1,Coach,1
2674,Gen.G,Edgar,LCK/2019 Season/Summer Season,LCK/2019 Season/Summer Season_Gen.G,10,1,Coach,1
2675,Gen.G,Edgar,LCK/2020 Season/Spring Playoffs,LCK/2020 Season/Spring Playoffs_Gen.G,6,1,Coach,1
2676,Gen.G,Edgar,LCK/2020 Season/Spring Season,LCK/2020 Season/Spring Season_Gen.G,7,1,Coach,1
2677,Gen.G,Flawless,LCK/2021 Season/Spring Season,LCK/2021 Season/Spring Season_Gen.G,3,1,Jungle,1
